"","Sample_ID","sample_type","extraction_ID","pcr_replicate","alt_ID","tank_ID","station_ID","combined_column","taxon","total_reads","MiSeq_run"
"110","e02455-A","sample","e02455","A","440",96,NA,"96","Gadus chalcogrammus",18788,"B"
"111","e02455-A","sample","e02455","A","440",96,NA,"96","Gadus macrocephalus",2730,"B"
"112","e02455-C","sample","e02455","C","440",96,NA,"96","Boreogadus saida",0,"B"
"113","e02455-C","sample","e02455","C","440",96,NA,"96","Gadus chalcogrammus",31586,"B"
"114","e02455-C","sample","e02455","C","440",96,NA,"96","Gadus macrocephalus",8157,"B"
"115","e02456-A","sample","e02456","A","132",96,NA,"96","Boreogadus saida",110,"B"
"116","e02456-A","sample","e02456","A","132",96,NA,"96","Gadus chalcogrammus",14574,"B"
"117","e02456-A","sample","e02456","A","132",96,NA,"96","Gadus macrocephalus",4608,"B"
"118","e02456-B","sample","e02456","B","132",96,NA,"96","Boreogadus saida",0,"B"
"119","e02456-B","sample","e02456","B","132",96,NA,"96","Gadus chalcogrammus",24357,"B"
"120","e02456-B","sample","e02456","B","132",96,NA,"96","Gadus macrocephalus",6446,"B"
"121","e02456-C","sample","e02456","C","132",96,NA,"96","Boreogadus saida",0,"B"
"122","e02456-C","sample","e02456","C","132",96,NA,"96","Gadus chalcogrammus",21463,"B"
"123","e02456-C","sample","e02456","C","132",96,NA,"96","Gadus macrocephalus",5752,"B"
"124","e02458-A","sample","e02458","A","92",56,NA,"56","Boreogadus saida",11537,"B"
"125","e02458-A","sample","e02458","A","92",56,NA,"56","Gadus macrocephalus",14347,"B"
"126","e02458-B","sample","e02458","B","92",56,NA,"56","Boreogadus saida",19545,"B"
"127","e02458-B","sample","e02458","B","92",56,NA,"56","Gadus macrocephalus",24543,"B"
"128","e02458-C","sample","e02458","C","92",56,NA,"56","Boreogadus saida",18202,"B"
"129","e02458-C","sample","e02458","C","92",56,NA,"56","Gadus macrocephalus",23914,"B"
"130","e02459-A","sample","e02459","A","449",49,NA,"49","Boreogadus saida",103,"B"
"131","e02459-A","sample","e02459","A","449",49,NA,"49","Gadus chalcogrammus",25197,"B"
"132","e02459-A","sample","e02459","A","449",49,NA,"49","Gadus macrocephalus",0,"B"
"133","e02459-B","sample","e02459","B","449",49,NA,"49","Boreogadus saida",253,"B"
"134","e02459-B","sample","e02459","B","449",49,NA,"49","Gadus chalcogrammus",44608,"B"
"135","e02459-B","sample","e02459","B","449",49,NA,"49","Gadus macrocephalus",291,"B"
"136","e02459-C","sample","e02459","C","449",49,NA,"49","Boreogadus saida",84,"B"
"137","e02459-C","sample","e02459","C","449",49,NA,"49","Gadus chalcogrammus",44751,"B"
"138","e02459-C","sample","e02459","C","449",49,NA,"49","Gadus macrocephalus",3,"B"
"139","e02460-A","sample","e02460","A","477",49,NA,"49","Boreogadus saida",100,"B"
"140","e02460-A","sample","e02460","A","477",49,NA,"49","Gadus chalcogrammus",14729,"B"
"141","e02460-A","sample","e02460","A","477",49,NA,"49","Gadus macrocephalus",0,"B"
"142","e02460-B","sample","e02460","B","477",49,NA,"49","Boreogadus saida",8,"B"
"143","e02460-B","sample","e02460","B","477",49,NA,"49","Gadus chalcogrammus",31484,"B"
"144","e02460-B","sample","e02460","B","477",49,NA,"49","Gadus macrocephalus",0,"B"
"145","e02460-C","sample","e02460","C","477",49,NA,"49","Boreogadus saida",75,"B"
"146","e02460-C","sample","e02460","C","477",49,NA,"49","Gadus chalcogrammus",41540,"B"
"147","e02460-C","sample","e02460","C","477",49,NA,"49","Gadus macrocephalus",0,"B"
"148","e02461-A","sample","e02461","A","319",49,NA,"49","Boreogadus saida",1503,"B"
"149","e02461-A","sample","e02461","A","319",49,NA,"49","Gadus chalcogrammus",16300,"B"
"150","e02461-A","sample","e02461","A","319",49,NA,"49","Gadus macrocephalus",165,"B"
"151","e02461-B","sample","e02461","B","319",49,NA,"49","Boreogadus saida",1660,"B"
"152","e02461-B","sample","e02461","B","319",49,NA,"49","Gadus chalcogrammus",29787,"B"
"153","e02461-B","sample","e02461","B","319",49,NA,"49","Gadus macrocephalus",0,"B"
"154","e02461-C","sample","e02461","C","319",49,NA,"49","Boreogadus saida",1631,"B"
"155","e02461-C","sample","e02461","C","319",49,NA,"49","Gadus chalcogrammus",36462,"B"
"156","e02461-C","sample","e02461","C","319",49,NA,"49","Gadus macrocephalus",0,"B"
"157","e02462-A","sample","e02462","A","365",56,NA,"56","Boreogadus saida",12928,"B"
"158","e02462-A","sample","e02462","A","365",56,NA,"56","Gadus macrocephalus",17139,"B"
"159","e02462-B","sample","e02462","B","365",56,NA,"56","Boreogadus saida",14890,"B"
"160","e02462-B","sample","e02462","B","365",56,NA,"56","Gadus macrocephalus",23431,"B"
"161","e02462-C","sample","e02462","C","365",56,NA,"56","Boreogadus saida",18527,"B"
"162","e02462-C","sample","e02462","C","365",56,NA,"56","Gadus macrocephalus",27606,"B"
"163","e02463-A","sample","e02463","A","322",56,NA,"56","Boreogadus saida",10009,"B"
"164","e02463-A","sample","e02463","A","322",56,NA,"56","Gadus macrocephalus",13068,"B"
"165","e02463-B","sample","e02463","B","322",56,NA,"56","Boreogadus saida",16623,"B"
"166","e02463-B","sample","e02463","B","322",56,NA,"56","Gadus macrocephalus",26253,"B"
"167","e02463-C","sample","e02463","C","322",56,NA,"56","Boreogadus saida",18043,"B"
"168","e02463-C","sample","e02463","C","322",56,NA,"56","Gadus macrocephalus",29818,"B"
"169","e02471-A","sample","e02471","A","183",83,NA,"83","Gadus macrocephalus",21391,"B"
"170","e02471-B","sample","e02471","B","183",83,NA,"83","Gadus macrocephalus",44165,"B"
"171","e02471-C","sample","e02471","C","183",83,NA,"83","Gadus macrocephalus",27986,"B"
"172","e02472-A","sample","e02472","A","235",70,NA,"70","Boreogadus saida",2498,"B"
"173","e02472-A","sample","e02472","A","235",70,NA,"70","Gadus macrocephalus",1467,"B"
"174","e02472-B","sample","e02472","B","235",70,NA,"70","Boreogadus saida",20933,"B"
"175","e02472-B","sample","e02472","B","235",70,NA,"70","Gadus macrocephalus",11699,"B"
"176","e02472-C","sample","e02472","C","235",70,NA,"70","Boreogadus saida",20849,"B"
"177","e02472-C","sample","e02472","C","235",70,NA,"70","Gadus macrocephalus",7504,"B"
"178","e02474-A","sample","e02474","A","304",38,NA,"38","Boreogadus saida",7971,"B"
"179","e02474-A","sample","e02474","A","304",38,NA,"38","Gadus macrocephalus",8172,"B"
"180","e02474-B","sample","e02474","B","304",38,NA,"38","Boreogadus saida",38797,"B"
"181","e02474-B","sample","e02474","B","304",38,NA,"38","Gadus macrocephalus",16789,"B"
"182","e02474-C","sample","e02474","C","304",38,NA,"38","Boreogadus saida",8218,"B"
"183","e02474-C","sample","e02474","C","304",38,NA,"38","Gadus macrocephalus",8405,"B"
"184","e02477-A","sample","e02477","A","389",83,NA,"83","Gadus macrocephalus",13543,"B"
"185","e02477-B","sample","e02477","B","389",83,NA,"83","Gadus macrocephalus",32506,"B"
"186","e02477-C","sample","e02477","C","389",83,NA,"83","Gadus macrocephalus",29999,"B"
"187","e02478-A","sample","e02478","A","293",70,NA,"70","Boreogadus saida",3538,"B"
"188","e02478-A","sample","e02478","A","293",70,NA,"70","Gadus macrocephalus",3820,"B"
"189","e02478-B","sample","e02478","B","293",70,NA,"70","Boreogadus saida",16261,"B"
"190","e02478-B","sample","e02478","B","293",70,NA,"70","Gadus macrocephalus",22264,"B"
"191","e02478-C","sample","e02478","C","293",70,NA,"70","Boreogadus saida",7960,"B"
"192","e02478-C","sample","e02478","C","293",70,NA,"70","Gadus macrocephalus",7199,"B"
"193","e02479-A","sample","e02479","A","400",70,NA,"70","Boreogadus saida",3630,"B"
"194","e02479-A","sample","e02479","A","400",70,NA,"70","Gadus macrocephalus",7051,"B"
"195","e02479-B","sample","e02479","B","400",70,NA,"70","Boreogadus saida",13350,"B"
"196","e02479-B","sample","e02479","B","400",70,NA,"70","Gadus macrocephalus",15544,"B"
"197","e02479-C","sample","e02479","C","400",70,NA,"70","Boreogadus saida",12345,"B"
"198","e02479-C","sample","e02479","C","400",70,NA,"70","Gadus macrocephalus",16022,"B"
"199","e02480-A","sample","e02480","A","99",62,NA,"62","Boreogadus saida",10020,"B"
"200","e02480-A","sample","e02480","A","99",62,NA,"62","Gadus macrocephalus",2860,"B"
"201","e02480-B","sample","e02480","B","99",62,NA,"62","Boreogadus saida",26722,"B"
"202","e02480-B","sample","e02480","B","99",62,NA,"62","Gadus macrocephalus",7923,"B"
"203","e02480-C","sample","e02480","C","99",62,NA,"62","Boreogadus saida",24560,"B"
"204","e02480-C","sample","e02480","C","99",62,NA,"62","Gadus macrocephalus",7408,"B"
"205","e02481-A","sample","e02481","A","76",62,NA,"62","Boreogadus saida",18689,"B"
"206","e02481-A","sample","e02481","A","76",62,NA,"62","Gadus macrocephalus",8049,"B"
"207","e02481-B","sample","e02481","B","76",62,NA,"62","Boreogadus saida",37107,"B"
"208","e02481-B","sample","e02481","B","76",62,NA,"62","Gadus macrocephalus",17660,"B"
"209","e02481-C","sample","e02481","C","76",62,NA,"62","Boreogadus saida",26753,"B"
"210","e02481-C","sample","e02481","C","76",62,NA,"62","Gadus macrocephalus",11836,"B"
"211","e02482-A","sample","e02482","A","428",62,NA,"62","Boreogadus saida",17322,"B"
"212","e02482-A","sample","e02482","A","428",62,NA,"62","Gadus macrocephalus",3721,"B"
"213","e02482-B","sample","e02482","B","428",62,NA,"62","Boreogadus saida",38277,"B"
"214","e02482-B","sample","e02482","B","428",62,NA,"62","Gadus macrocephalus",10702,"B"
"215","e02482-C","sample","e02482","C","428",62,NA,"62","Boreogadus saida",32462,"B"
"216","e02482-C","sample","e02482","C","428",62,NA,"62","Gadus macrocephalus",9146,"B"
"217","e02484-A","sample","e02484","A","141",86,NA,"86","Gadus macrocephalus",16936,"B"
"218","e02484-B","sample","e02484","B","141",86,NA,"86","Gadus macrocephalus",31106,"B"
"219","e02484-C","sample","e02484","C","141",86,NA,"86","Gadus macrocephalus",32730,"B"
"220","e02486-A","sample","e02486","A","329",80,NA,"80","Boreogadus saida",20159,"B"
"221","e02486-A","sample","e02486","A","329",80,NA,"80","Gadus macrocephalus",4036,"B"
"222","e02486-B","sample","e02486","B","329",80,NA,"80","Boreogadus saida",104595,"B"
"223","e02486-B","sample","e02486","B","329",80,NA,"80","Gadus macrocephalus",29685,"B"
"224","e02486-C","sample","e02486","C","329",80,NA,"80","Boreogadus saida",33947,"B"
"225","e02486-C","sample","e02486","C","329",80,NA,"80","Gadus macrocephalus",10297,"B"
"226","e02487-A","sample","e02487","A","200",80,NA,"80","Boreogadus saida",16619,"B"
"227","e02487-A","sample","e02487","A","200",80,NA,"80","Gadus macrocephalus",6348,"B"
"228","e02487-B","sample","e02487","B","200",80,NA,"80","Boreogadus saida",31129,"B"
"229","e02487-B","sample","e02487","B","200",80,NA,"80","Gadus macrocephalus",14990,"B"
"230","e02487-C","sample","e02487","C","200",80,NA,"80","Boreogadus saida",21990,"B"
"231","e02487-C","sample","e02487","C","200",80,NA,"80","Gadus macrocephalus",12906,"B"
"232","e02488-A","sample","e02488","A","353",80,NA,"80","Boreogadus saida",8322,"B"
"233","e02488-A","sample","e02488","A","353",80,NA,"80","Gadus macrocephalus",2979,"B"
"234","e02488-B","sample","e02488","B","353",80,NA,"80","Boreogadus saida",27423,"B"
"235","e02488-B","sample","e02488","B","353",80,NA,"80","Gadus macrocephalus",16505,"B"
"236","e02488-C","sample","e02488","C","353",80,NA,"80","Boreogadus saida",18500,"B"
"237","e02488-C","sample","e02488","C","353",80,NA,"80","Gadus macrocephalus",9424,"B"
"238","e02490-A","sample","e02490","A","109",22,NA,"22","Boreogadus saida",23337,"B"
"239","e02490-A","sample","e02490","A","109",22,NA,"22","Gadus chalcogrammus",0,"B"
"240","e02490-B","sample","e02490","B","109",22,NA,"22","Boreogadus saida",46096,"B"
"241","e02490-B","sample","e02490","B","109",22,NA,"22","Gadus chalcogrammus",0,"B"
"242","e02490-C","sample","e02490","C","109",22,NA,"22","Boreogadus saida",51817,"B"
"243","e02490-C","sample","e02490","C","109",22,NA,"22","Gadus chalcogrammus",9,"B"
"244","e02491-A","sample","e02491","A","14",22,NA,"22","Boreogadus saida",29465,"B"
"245","e02491-A","sample","e02491","A","14",22,NA,"22","Gadus chalcogrammus",244,"B"
"246","e02491-B","sample","e02491","B","14",22,NA,"22","Boreogadus saida",64456,"B"
"247","e02491-B","sample","e02491","B","14",22,NA,"22","Gadus chalcogrammus",410,"B"
"248","e02491-C","sample","e02491","C","14",22,NA,"22","Boreogadus saida",60324,"B"
"249","e02491-C","sample","e02491","C","14",22,NA,"22","Gadus chalcogrammus",457,"B"
"250","e02492-A","sample","e02492","A","65",22,NA,"22","Boreogadus saida",23239,"B"
"251","e02492-A","sample","e02492","A","65",22,NA,"22","Gadus chalcogrammus",0,"B"
"252","e02492-B","sample","e02492","B","65",22,NA,"22","Boreogadus saida",44696,"B"
"253","e02492-B","sample","e02492","B","65",22,NA,"22","Gadus chalcogrammus",0,"B"
"254","e02492-C","sample","e02492","C","65",22,NA,"22","Boreogadus saida",52437,"B"
"255","e02492-C","sample","e02492","C","65",22,NA,"22","Gadus chalcogrammus",0,"B"
"256","e02493-A","sample","e02493","A","64",63,NA,"63","Gadus chalcogrammus",78,"B"
"257","e02493-A","sample","e02493","A","64",63,NA,"63","Gadus macrocephalus",11166,"B"
"258","e02493-B","sample","e02493","B","64",63,NA,"63","Gadus chalcogrammus",63,"B"
"259","e02493-B","sample","e02493","B","64",63,NA,"63","Gadus macrocephalus",10256,"B"
"260","e02493-C","sample","e02493","C","64",63,NA,"63","Gadus chalcogrammus",103,"B"
"261","e02493-C","sample","e02493","C","64",63,NA,"63","Gadus macrocephalus",16657,"B"
"262","e02494-A","sample","e02494","A","36",63,NA,"63","Gadus chalcogrammus",240,"B"
"263","e02494-A","sample","e02494","A","36",63,NA,"63","Gadus macrocephalus",25641,"B"
"264","e02494-B","sample","e02494","B","36",63,NA,"63","Gadus chalcogrammus",499,"B"
"265","e02494-B","sample","e02494","B","36",63,NA,"63","Gadus macrocephalus",34892,"B"
"266","e02494-C","sample","e02494","C","36",63,NA,"63","Gadus chalcogrammus",418,"B"
"267","e02494-C","sample","e02494","C","36",63,NA,"63","Gadus macrocephalus",52600,"B"
"268","e02495-A","sample","e02495","A","251",63,NA,"63","Gadus chalcogrammus",233,"B"
"269","e02495-A","sample","e02495","A","251",63,NA,"63","Gadus macrocephalus",19855,"B"
"270","e02495-B","sample","e02495","B","251",63,NA,"63","Gadus chalcogrammus",385,"B"
"271","e02495-B","sample","e02495","B","251",63,NA,"63","Gadus macrocephalus",46266,"B"
"272","e02495-C","sample","e02495","C","251",63,NA,"63","Gadus chalcogrammus",432,"B"
"273","e02495-C","sample","e02495","C","251",63,NA,"63","Gadus macrocephalus",47207,"B"
"274","e02496-A","sample","e02496","A","234",14,NA,"14","Gadus chalcogrammus",26370,"B"
"275","e02496-A","sample","e02496","A","234",14,NA,"14","Gadus macrocephalus",118,"B"
"276","e02496-B","sample","e02496","B","234",14,NA,"14","Gadus chalcogrammus",52980,"B"
"277","e02496-B","sample","e02496","B","234",14,NA,"14","Gadus macrocephalus",215,"B"
"278","e02496-C","sample","e02496","C","234",14,NA,"14","Gadus chalcogrammus",41331,"B"
"279","e02496-C","sample","e02496","C","234",14,NA,"14","Gadus macrocephalus",108,"B"
"280","e02497-A","sample","e02497","A","272",14,NA,"14","Gadus chalcogrammus",22909,"B"
"281","e02497-A","sample","e02497","A","272",14,NA,"14","Gadus macrocephalus",413,"B"
"282","e02497-B","sample","e02497","B","272",14,NA,"14","Gadus chalcogrammus",50228,"B"
"283","e02497-B","sample","e02497","B","272",14,NA,"14","Gadus macrocephalus",673,"B"
"284","e02497-C","sample","e02497","C","272",14,NA,"14","Gadus chalcogrammus",37751,"B"
"285","e02497-C","sample","e02497","C","272",14,NA,"14","Gadus macrocephalus",666,"B"
"286","e02498-A","sample","e02498","A","150",14,NA,"14","Gadus chalcogrammus",15545,"B"
"287","e02498-A","sample","e02498","A","150",14,NA,"14","Gadus macrocephalus",39,"B"
"288","e02498-B","sample","e02498","B","150",14,NA,"14","Gadus chalcogrammus",42882,"B"
"289","e02498-B","sample","e02498","B","150",14,NA,"14","Gadus macrocephalus",113,"B"
"290","e02498-C","sample","e02498","C","150",14,NA,"14","Gadus chalcogrammus",31333,"B"
"291","e02498-C","sample","e02498","C","150",14,NA,"14","Gadus macrocephalus",124,"B"
"292","e02500-A","sample","e02500","A","254",78,NA,"78","Gadus chalcogrammus",19063,"B"
"293","e02500-A","sample","e02500","A","254",78,NA,"78","Gadus macrocephalus",0,"B"
"294","e02500-B","sample","e02500","B","254",78,NA,"78","Gadus chalcogrammus",39800,"B"
"295","e02500-B","sample","e02500","B","254",78,NA,"78","Gadus macrocephalus",21,"B"
"296","e02500-C","sample","e02500","C","254",78,NA,"78","Gadus chalcogrammus",39737,"B"
"297","e02500-C","sample","e02500","C","254",78,NA,"78","Gadus macrocephalus",45,"B"
"298","e02501-A","sample","e02501","A","73",78,NA,"78","Gadus chalcogrammus",23096,"B"
"299","e02501-A","sample","e02501","A","73",78,NA,"78","Gadus macrocephalus",0,"B"
"300","e02501-B","sample","e02501","B","73",78,NA,"78","Gadus chalcogrammus",54799,"B"
"301","e02501-B","sample","e02501","B","73",78,NA,"78","Gadus macrocephalus",99,"B"
"302","e02501-C","sample","e02501","C","73",78,NA,"78","Gadus chalcogrammus",39019,"B"
"303","e02501-C","sample","e02501","C","73",78,NA,"78","Gadus macrocephalus",26,"B"
"304","e02505-A","sample","e02505","A","E1056",NA,"DBO4.1","DBO4.1","Boreogadus saida",301,"B"
